"kind","model","part","file","url","sha"
"rda","coh_mod1","d","coh_mod1d.rda","https://osf.io/be6qv/download","dd2b4d4a701494c6ab881fb9883bb599979429111be130d4f5c624390a05d9f7"
"rda","coh_mod1","e","coh_mod1e.rda","https://osf.io/pv3gm/download","3c73a08a42467f5d8d3f248485b33a78f40fc78de6e2e2749884f5eb1f55e99b"
"rda","coh_mod1","f","coh_mod1f.rda","https://osf.io/myk6f/download","cbfa90d2c83767d4412fa29c0843daa6da572a34768697a75aab01f1ae45c8f4"
"rda","coh_mod2","a","coh_mod2a.rda","https://osf.io/mr7kg/download","69ee7d6666b61625f4780fc63d1a09a81228f960ac9d6e0809c6467c2e586b06"
"rda","coh_mod2","b","coh_mod2b.rda","https://osf.io/zxhcu/download","f419c448d642d6836ed53ded035c5590a85223592904614ca844d17702583675"
"rda","coh_mod2","c","coh_mod2c.rda","https://osf.io/n6hqg/download","35978c63d22f388b6bed65d9fce92cbd84c46ccf0ce90a8f377dd0073d88447c"
"rda","coh_mod3narr","a","coh_mod3narr.rda","https://osf.io/y5hjz/download","a9162bc42a8fccf0dd3356c45af6d2d81a3c1b784775d234a155b5b12ca3687a"
"rda","coh_mod3exp","a","coh_mod3exp.rda","https://osf.io/6x95q/download","0705d4d0435c0c0a4cf0f9e664af021ac1be8149b5999aab00b7049dcd957159"
"rda","coh_mod3per","a","coh_mod3per.rda","https://osf.io/vrnt9/download","6074b9ee625f118905425915f70c021efcf9d121b6c655b11c9aab8b088a29d4"
"rda","coh_mod3all","a","coh_mod3exp.rda","https://osf.io/6x95q/download","0705d4d0435c0c0a4cf0f9e664af021ac1be8149b5999aab00b7049dcd957159"
"rda","coh_mod3all","b","coh_mod3narr.rda","https://osf.io/y5hjz/download","a9162bc42a8fccf0dd3356c45af6d2d81a3c1b784775d234a155b5b12ca3687a"
"rda","coh_mod3all","c","coh_mod3per.rda","https://osf.io/vrnt9/download","6074b9ee625f118905425915f70c021efcf9d121b6c655b11c9aab8b088a29d4"
"rda","gamet_cws1","a","CWS_mod1a.rda","https://osf.io/tfw95/download","b0261b00915b48987adad3c3ef55e2cc585c0e20e2ac6c9bfd8b5db042d055bc"
"rda","gamet_cws1","b","CIWS_mod1a.rda","https://osf.io/yjuxn/download","ae4679306f245cc78ebc2a76be37771fc6c23972261f43af5cd26b0bfa10ad0c"
